itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
tnu: 3.990000, yf_b: 1.000000, yo_oo: 0.210000, ts: 300.000000, tn_too: 1.000000
[ITER 1][CUDA] kernel_solve_U = 535187.875000 ms
[ITER 1][CUDA] kernel_solve_V = 552151.812500 ms
[ITER 1][CUDA] kernel_solve_P = 63201.527344 ms
[ITER 1][CUDA] kernel_solve_Z = 193865.546875 ms
[ITER 1][CUDA] kernel_solve_C = 204599.203125 ms
[ITER 1][CUDA] H2D = 0.000000 ms
[ITER 1][CUDA] D2H = 0.000000 ms
[ITER 1][CUDA] timestep_total = 1578372.375000 ms
[ITER 2][CUDA] kernel_solve_U = 531414.875000 ms
[ITER 2][CUDA] kernel_solve_V = 548166.375000 ms
[ITER 2][CUDA] kernel_solve_P = 62992.226562 ms
[ITER 2][CUDA] kernel_solve_Z = 192259.578125 ms
[ITER 2][CUDA] kernel_solve_C = 202986.843750 ms
[ITER 2][CUDA] H2D = 0.000000 ms
[ITER 2][CUDA] D2H = 0.000000 ms
[ITER 2][CUDA] timestep_total = 1565990.750000 ms
[ITER 3][CUDA] kernel_solve_U = 133821.656250 ms
[ITER 3][CUDA] kernel_solve_V = 136564.500000 ms
[ITER 3][CUDA] kernel_solve_P = 15702.213867 ms
[ITER 3][CUDA] kernel_solve_Z = 48198.378906 ms
[ITER 3][CUDA] kernel_solve_C = 50425.796875 ms
[ITER 3][CUDA] H2D = 0.000000 ms
[ITER 3][CUDA] D2H = 0.000000 ms
[ITER 3][CUDA] timestep_total = 391893.062500 ms
[ITER 4][CUDA] kernel_solve_U = 26133.976562 ms
[ITER 4][CUDA] kernel_solve_V = 26687.943359 ms
[ITER 4][CUDA] kernel_solve_P = 3062.005371 ms
[ITER 4][CUDA] kernel_solve_Z = 9418.971680 ms
[ITER 4][CUDA] kernel_solve_C = 9858.311523 ms
[ITER 4][CUDA] H2D = 0.000000 ms
[ITER 4][CUDA] D2H = 0.000000 ms
[ITER 4][CUDA] timestep_total = 76573.593750 ms
[ITER 5][CUDA] kernel_solve_U = 18566.669922 ms
[ITER 5][CUDA] kernel_solve_V = 18950.892578 ms
[ITER 5][CUDA] kernel_solve_P = 2199.232422 ms
[ITER 5][CUDA] kernel_solve_Z = 6685.557129 ms
[ITER 5][CUDA] kernel_solve_C = 7012.869629 ms
[ITER 5][CUDA] H2D = 0.000000 ms
[ITER 5][CUDA] D2H = 0.000000 ms
[ITER 5][CUDA] timestep_total = 54425.304688 ms
[ITER 6][CUDA] kernel_solve_U = 14454.339844 ms
[ITER 6][CUDA] kernel_solve_V = 14758.356445 ms
[ITER 6][CUDA] kernel_solve_P = 1702.289429 ms
[ITER 6][CUDA] kernel_solve_Z = 5208.155273 ms
[ITER 6][CUDA] kernel_solve_C = 5457.884277 ms
[ITER 6][CUDA] H2D = 0.000000 ms
[ITER 6][CUDA] D2H = 0.000000 ms
[ITER 6][CUDA] timestep_total = 42366.890625 ms
[ITER 7][CUDA] kernel_solve_U = 11819.186523 ms
[ITER 7][CUDA] kernel_solve_V = 12069.475586 ms
[ITER 7][CUDA] kernel_solve_P = 1383.587891 ms
[ITER 7][CUDA] kernel_solve_Z = 4260.494141 ms
[ITER 7][CUDA] kernel_solve_C = 4458.559082 ms
[ITER 7][CUDA] H2D = 0.000000 ms
[ITER 7][CUDA] D2H = 0.000000 ms
[ITER 7][CUDA] timestep_total = 34631.691406 ms
[ITER 8][CUDA] kernel_solve_U = 9946.146484 ms
[ITER 8][CUDA] kernel_solve_V = 10159.986328 ms
[ITER 8][CUDA] kernel_solve_P = 1166.811523 ms
[ITER 8][CUDA] kernel_solve_Z = 3586.638916 ms
[ITER 8][CUDA] kernel_solve_C = 3754.209473 ms
[ITER 8][CUDA] H2D = 0.000000 ms
[ITER 8][CUDA] D2H = 0.000000 ms
[ITER 8][CUDA] timestep_total = 29153.085938 ms
[ITER 9][CUDA] kernel_solve_U = 8510.247070 ms
[ITER 9][CUDA] kernel_solve_V = 8690.597656 ms
[ITER 9][CUDA] kernel_solve_P = 996.564758 ms
[ITER 9][CUDA] kernel_solve_Z = 3067.070312 ms
[ITER 9][CUDA] kernel_solve_C = 3210.390625 ms
[ITER 9][CUDA] H2D = 0.000000 ms
[ITER 9][CUDA] D2H = 0.000000 ms
[ITER 9][CUDA] timestep_total = 24935.519531 ms
[ITER 10][CUDA] kernel_solve_U = 7341.560547 ms
[ITER 10][CUDA] kernel_solve_V = 7496.116211 ms
[ITER 10][CUDA] kernel_solve_P = 865.528687 ms
[ITER 10][CUDA] kernel_solve_Z = 2645.261475 ms
[ITER 10][CUDA] kernel_solve_C = 2771.577881 ms
[ITER 10][CUDA] H2D = 0.000000 ms
[ITER 10][CUDA] D2H = 0.000000 ms
[ITER 10][CUDA] timestep_total = 21518.320312 ms
[ITER 11][CUDA] kernel_solve_U = 6344.312500 ms
[ITER 11][CUDA] kernel_solve_V = 6475.271973 ms
[ITER 11][CUDA] kernel_solve_P = 751.667908 ms
[ITER 11][CUDA] kernel_solve_Z = 2283.948730 ms
[ITER 11][CUDA] kernel_solve_C = 2396.574707 ms
[ITER 11][CUDA] H2D = 0.000000 ms
[ITER 11][CUDA] D2H = 0.000000 ms
[ITER 11][CUDA] timestep_total = 18596.832031 ms
[ITER 12][CUDA] kernel_solve_U = 5459.410156 ms
[ITER 12][CUDA] kernel_solve_V = 5574.368164 ms
[ITER 12][CUDA] kernel_solve_P = 639.232544 ms
[ITER 12][CUDA] kernel_solve_Z = 1967.597046 ms
[ITER 12][CUDA] kernel_solve_C = 2059.238770 ms
[ITER 12][CUDA] H2D = 0.000000 ms
[ITER 12][CUDA] D2H = 0.000000 ms
[ITER 12][CUDA] timestep_total = 15995.164062 ms
[ITER 13][CUDA] kernel_solve_U = 4675.896484 ms
[ITER 13][CUDA] kernel_solve_V = 4774.746582 ms
[ITER 13][CUDA] kernel_solve_P = 547.460632 ms
[ITER 13][CUDA] kernel_solve_Z = 1685.292969 ms
[ITER 13][CUDA] kernel_solve_C = 1763.687012 ms
[ITER 13][CUDA] H2D = 0.000000 ms
[ITER 13][CUDA] D2H = 0.000000 ms
[ITER 13][CUDA] timestep_total = 13700.106445 ms
[ITER 14][CUDA] kernel_solve_U = 3991.841553 ms
[ITER 14][CUDA] kernel_solve_V = 4076.093750 ms
[ITER 14][CUDA] kernel_solve_P = 469.073975 ms
[ITER 14][CUDA] kernel_solve_Z = 1439.379272 ms
[ITER 14][CUDA] kernel_solve_C = 1506.203003 ms
[ITER 14][CUDA] H2D = 0.000000 ms
[ITER 14][CUDA] D2H = 0.000000 ms
[ITER 14][CUDA] timestep_total = 11698.892578 ms
[ITER 15][CUDA] kernel_solve_U = 3509.403809 ms
[ITER 15][CUDA] kernel_solve_V = 3582.760742 ms
[ITER 15][CUDA] kernel_solve_P = 411.439789 ms
[ITER 15][CUDA] kernel_solve_Z = 1265.329956 ms
[ITER 15][CUDA] kernel_solve_C = 1323.711182 ms
[ITER 15][CUDA] H2D = 0.000000 ms
[ITER 15][CUDA] D2H = 0.000000 ms
[ITER 15][CUDA] timestep_total = 10282.748047 ms
[ITER 16][CUDA] kernel_solve_U = 3026.093262 ms
[ITER 16][CUDA] kernel_solve_V = 3090.864502 ms
[ITER 16][CUDA] kernel_solve_P = 354.463989 ms
[ITER 16][CUDA] kernel_solve_Z = 1090.736938 ms
[ITER 16][CUDA] kernel_solve_C = 1141.948730 ms
[ITER 16][CUDA] H2D = 0.000000 ms
[ITER 16][CUDA] D2H = 0.000000 ms
[ITER 16][CUDA] timestep_total = 8867.788086 ms
[ITER 17][CUDA] kernel_solve_U = 2617.511230 ms
[ITER 17][CUDA] kernel_solve_V = 2673.625977 ms
[ITER 17][CUDA] kernel_solve_P = 306.502411 ms
[ITER 17][CUDA] kernel_solve_Z = 943.442322 ms
[ITER 17][CUDA] kernel_solve_C = 987.495789 ms
[ITER 17][CUDA] H2D = 0.000000 ms
[ITER 17][CUDA] D2H = 0.000000 ms
[ITER 17][CUDA] timestep_total = 7670.162109 ms
[ITER 18][CUDA] kernel_solve_U = 2261.499512 ms
[ITER 18][CUDA] kernel_solve_V = 2310.257080 ms
[ITER 18][CUDA] kernel_solve_P = 264.919861 ms
