line,col,seq,par,absdiff
144,5,-62.168875,-60.418822,1.7500530000000012
160,5,-62.168875,-60.418822,1.7500530000000012
80,5,92.424398,91.11946,1.3049379999999928
64,5,65.931741,64.85395,1.0777910000000048
128,5,-9.466107,-8.567603,0.8985039999999991
96,5,99.86675,99.106214,0.7605360000000019
143,5,-63.227805,-62.52986,0.6979449999999972
159,5,-63.227805,-62.52986,0.6979449999999972
16,5,-12.802365,-12.136519,0.6658460000000002
32,5,-12.802365,-12.136519,0.6658460000000002
133,5,-182.888019,-182.303816,0.5842030000000022
149,5,-182.888019,-182.303816,0.5842030000000022
4,5,-258.038719,-258.603558,0.5648390000000063
20,5,-258.038719,-258.603558,0.5648390000000063
33,5,-258.439672,-258.982915,0.5432430000000181
34,5,-258.439672,-258.982915,0.5432430000000181
49,5,-211.845046,-212.387758,0.5427119999999945
50,5,-211.845046,-212.387758,0.5427119999999945
79,5,41.727046,41.1856,0.5414460000000005
131,5,-141.147225,-141.686545,0.5393200000000036
147,5,-141.147225,-141.686545,0.5393200000000036
1,5,-276.322962,-276.812561,0.48959899999999834
2,5,-276.322962,-276.812561,0.48959899999999834
17,5,-276.322962,-276.812561,0.48959899999999834
18,5,-276.322962,-276.812561,0.48959899999999834
63,5,45.065346,44.622269,0.4430769999999953
3,5,-266.597477,-267.03844,0.4409629999999538
19,5,-266.597477,-267.03844,0.4409629999999538
107,5,-83.943079,-83.510273,0.43280599999999936
13,5,101.965388,101.533891,0.43149700000000735
29,5,101.965388,101.533891,0.43149700000000735
37,5,-254.019406,-254.444763,0.4253569999999911
91,5,-50.373137,-49.961789,0.4113479999999967
117,5,-175.324209,-174.920462,0.40374700000000985
74,5,-5.471111,-5.841361,0.3702500000000004
139,5,-110.195408,-109.826295,0.3691129999999987
155,5,-110.195408,-109.826295,0.3691129999999987
84,5,-187.754231,-188.115983,0.36175199999999563
127,5,-32.369189,-32.008793,0.3603960000000015
40,5,-102.694949,-103.051925,0.35697600000000307
142,5,-64.286735,-64.640898,0.354163000000014
158,5,-64.286735,-64.640898,0.354163000000014
36,5,-260.351221,-260.699537,0.34831600000001117
68,5,-204.862848,-205.208014,0.34516599999997766
90,5,6.150321,5.805973,0.3443480000000001
109,5,-70.525208,-70.862458,0.3372499999999974
123,5,-105.439852,-105.108574,0.3312779999999975
53,5,-224.514777,-224.844451,0.3296739999999829
65,5,-193.574154,-193.902658,0.32850400000000946
66,5,-193.574154,-193.902658,0.32850400000000946
7,5,-127.198015,-127.525396,0.3273810000000026
23,5,-127.198015,-127.525396,0.3273810000000026
106,5,-14.020095,-14.335343,0.3152480000000004
125,5,-78.077683,-78.381459,0.30377600000001337
138,5,-29.177828,-29.480556,0.30272799999999833
154,5,-29.177828,-29.480556,0.30272799999999833
95,5,34.039975,33.746056,0.2939189999999954
120,5,-79.584018,-79.291774,0.2922439999999966
45,5,40.828445,41.120062,0.29161699999999513
100,5,-154.588294,-154.87987,0.2915760000000205
73,5,-55.177434,-55.463429,0.2859949999999998
122,5,-23.724148,-24.005409,0.28126100000000065
52,5,-232.567305,-232.843522,0.2762170000000026
61,5,18.87424,19.139562,0.26532200000000117
